jurisdiction,folded_token,restored_token,share
vn,phudenghi,phủđềnghị,1.0000
vn,phudo,phủdo,1.0000
vn,phuluc,phụlục,1.0000
vn,phunuoc,phủnước,1.0000
vn,phuoc,phước,1.0000
vn,phuong,phương,0.9817
vn,phut,phút,1.0000
vn,phutang,phủtặng,1.0000
vn,ptd,ptđ,1.0000
vn,pyrit,pyrít,1.0000
vn,qd,qđ,0.9668
vn,qdxl,qđxl,1.0000
vn,quaap,quảáp,1.0000
vn,quabophieu,quảbỏphiếu,1.0000
vn,quacao,quảcao,1.0000
vn,quachinh,quảchính,1.0000
vn,quasang,quảsáng,1.0000
vn,quathuc,quảthực,1.0000
vn,quatrong,quảtrong,1.0000
vn,quava,quảvà,1.0000
vn,quaxet,quảxét,1.0000
vn,quen,quên,0.9836
vn,quet,quét,1.0000
vn,quo,quố,1.0000
vn,quoc,quốc,0.9994
vn,quydinh,quyđịnh,1.0000
vn,quyen,quyền,0.9981
vn,quyet,quyết,0.9996
vn,quytin,quỹtín,1.0000
vn,rai,rãi,0.9091
vn,ran,rắn,0.9500
vn,rao,rào,0.9655
vn,rap,ráp,0.9675
vn,rat,rất,1.0000
vn,ren,rèn,0.9394
vn,ria,rịa,1.0000
vn,rieng,riêng,1.0000
vn,rua,rửa,1.0000
vn,rui,rủi,1.0000
vn,rung,rừng,0.9853
vn,ruot,ruột,1.0000
vn,ruou,rượu,1.0000
vn,rut,rút,1.0000
vn,sac,sắc,0.9661
vn,sach,sách,0.9224
vn,sam,sắm,0.9918
vn,san,sản,0.9843
vn,sanh,sánh,0.9722
vn,sec,séc,1.0000
vn,si,sĩ,0.9976
vn,sieu,siêu,1.0000
vn,so01,số01,1.0000
vn,so02,số02,1.0000
vn,so03,số03,1.0000
vn,so04,số04,1.0000
vn,so05,số05,1.0000
vn,so06,số06,1.0000
vn,so08,số08,1.0000
vn,so09,số09,1.0000
vn,so10,số10,1.0000
vn,so11,số11,1.0000
vn,so12,số12,1.0000
vn,so13,số13,1.0000
vn,so151,số151,1.0000
vn,so152,số152,1.0000
vn,so197,số197,1.0000
vn,so25,số25,1.0000
vn,so46,số46,1.0000
vn,so59,số59,1.0000
vn,so98,số98,1.0000
vn,soan,soạn,1.0000
vn,soat,soát,0.9994
vn,socac,sốcác,1.0000
vn,sodao,sởđào,1.0000
vn,sohoac,sởhoặc,1.0000
vn,sohoso,sốhồsơ,1.0000
vn,som,sớm,1.0000
vn,son,sơn,0.9806
vn,sonhung,sốnhững,1.0000
vn,sot,sót,0.9890
vn,sothanh,sốthành,1.0000
vn,sua,sửa,0.9980
vn,suat,suất,0.9963
vn,suc,sức,0.9715
vn,sudung,sửdụng,1.0000
vn,suhoac,sựhoặc,1.0000
vn,suma,sựmà,1.0000
vn,sunghiep,sựnghiệp,1.0000
vn,suoi,suối,1.0000
vn,suon,sườn,1.0000
vn,suot,suốt,1.0000
vn,suphat,sựphát,1.0000
vn,suu,sưu,1.0000
vn,sy,sỹ,0.9856
vn,ta,tả,0.9505
vn,tach,tách,1.0000
vn,tao,tạo,0.9982
vn,tap,tập,0.9435
vn,tau,tàu,0.9105
vn,tdt,tđt,1.0000
vn,teduoc,tếđược,1.0000
vn,ten,tên,0.9583
vn,tenan,tệnạn,1.0000
vn,tep,tệp,0.9952
vn,tet,tết,1.0000
vn,tetai,tếtại,1.0000
vn,tgd,tgđ,1.0000
vn,thac,thác,0.9944
vn,thang,tháng,0.9810
vn,thechap,thểchấp,1.0000
vn,theco,thểcó,1.0000
vn,theda,thểđã,1.0000
vn,thedan,thểdẫn,1.0000
vn,thedat,thểđạt,1.0000
vn,theduoc,thểđược,1.0000
vn,theguong,thểgương,1.0000
vn,thehetre,thếhệtrẻ,1.0000
vn,thehoan,thểhoàn,1.0000
vn,thekhac,thểkhác,1.0000
vn,thekhong,thểkhông,1.0000
vn,thelao,thểlao,1.0000
vn,thelon,thểlớn,1.0000
vn,them,thêm,0.9917
vn,thenguoi,thểngười,1.0000
vn,thep,thép,0.9778
vn,thesuy,thểsuy,1.0000
vn,thethuoc,thểthuộc,1.0000
vn,thetieu,thểtiêu,1.0000
vn,thetrong,thểtrong,1.0000
vn,thetrung,thểtrung,1.0000
vn,thich,thích,1.0000
vn,thiec,thiếc,1.0000
vn,thiep,thiệp,1.0000
vn,thoat,thoát,1.0000
vn,thoi,thời,0.9869
vn,thon,thôn,0.9785
vn,thuan,thuận,0.9720
vn,thuat,thuật,0.9979
vn,thung,thùng,0.9804
vn,thunhat,thứnhất,1.0000
vn,thuoc,thuộc,0.9678
vn,thutruong,thủtrưởng,1.0000
vn,thutuc,thủtục,1.0000
vn,thutuong,thủtướng,1.0000
vn,thuy,thủy,0.9311
vn,thuyen,thuyền,0.9515
vn,thuyet,thuyết,1.0000
vn,tiem,tiềm,0.9052
vn,tieng,tiếng,0.9912
vn,tiep,tiếp,0.9995
vn,tiet,tiết,0.9967
vn,tieu,tiêu,0.9729
vn,tim,tìm,0.9722
vn,tocao,tốcáo,1.0000
vn,tochuc,tổchức,1.0000
vn,tokhai,tờkhai,1.0000
vn,tomoi,tốmới,1.0000
vn,tong,tổng,0.9942
vn,toquoc,tổquốc,1.0000
vn,tot,tốt,1.0000
vn,totrinh,tờtrình,1.0000
vn,trac,trắc,0.9881
vn,trach,trách,0.9999
vn,trat,trật,0.9987
vn,tren,trên,0.9997
vn,trich,trích,0.9975
vn,tridac,trịđặc,1.0000
vn,trien,triển,0.9999
vn,triet,triệt,1.0000
vn,trieu,triệu,0.9945
vn,trinh,trình,0.9979
vn,trithiet,trịthiết,1.0000
vn,trivung,trịvững,1.0000
vn,trogiup,trợgiúp,1.0000
vn,trolen,trởlên,1.0000
vn,trom,trộm,1.0000
vn,trot,trọt,1.0000
vn,truat,truất,1.0000
vn,trucac,trừcác,1.0000
vn,truoc,trước,0.9992
vn,truot,trượt,1.0000
vn,trusoco,trụsởcơ,1.0000
vn,trutheo,trữtheo,1.0000
vn,truyen,truyền,0.9989
vn,ttdt,ttđt,0.9936
vn,ttdtlnh,ttđtlnh,1.0000
vn,tu02,từ02,1.0000
vn,tu05,từ05,1.0000
vn,tu10,từ10,1.0000
vn,tu25,từ25,1.0000
vn,tu3,từ3,1.0000
vn,tu80,từ80,1.0000
vn,tu90,từ90,1.0000
vn,tuat,tuất,1.0000
vn,tuc,tục,0.9759
vn,tucho,tửcho,1.0000
vn,tucua,tửcủa,1.0000
vn,tudo,tựdo,1.0000
vn,tue,tuệ,1.0000
vn,tui,túi,1.0000
vn,tukhi,từkhi,1.0000
vn,tunam,từnăm,1.0000
vn,tungay,từngày,1.0000
vn,tuoc,tước,0.9957
vn,tuthien,từthiện,1.0000
vn,tuthuc,tựthực,1.0000
vn,tuu,tựu,0.9667
vn,tylephieu,tỷlệphiếu,1.0000
vn,uc,úc,0.9000
vn,uiong,ứiông,0.9167
vn,ung,ứng,0.9956
vn,uoc,ước,0.9982
vn,uom,ươm,1.0000
vn,uong,ương,0.9927
vn,uop,ướp,1.0000
vn,uot,ướt,1.0000
vn,uu,ưu,0.9994
vn,uy,ủy,0.9256
vn,va,và,0.9990
vn,vao,vào,1.0000
vn,vat,vật,0.9980
vn,vechedothong,vềchếđộthông,1.0000
vn,vecong,vềcông,1.0000
vn,velai,vềlại,1.0000
vn,venang,vềnăng,1.0000
vn,vengan,vềngân,1.0000
vn,venguoi,vềngười,1.0000
vn,venh,vênh,1.0000
vn,vetoquoc,vệtổquốc,1.0000
vn,vetruoc,vềtrước,1.0000
vn,vetu,vềtư,1.0000
vn,vevat,vềvật,1.0000
vn,veviec,vềviệc,1.0000
vn,vico,vịcó,1.0000
vn,viec,việc,1.0000
vn,viet,việt,0.9438
vn,vigui,vịgửi,1.0000
vn,vihoac,vịhoặc,1.0000
vn,vikem,vịkèm,1.0000
